name,code,males,females,u18,adult,over64,male0,male1,male2,male3,male4,male5,male6,male7,male8,male9,male10,male11,male12,male13,male14,male15,male16,male17,male18,female0,female1,female2,female3,female4,female5,female6,female7,female8,female9,female10,female11,female12,female13,female14,female15,female16,female17,female18
East Hertfordshire,E07000242,69284,71792,31766,85987,23323,4457,4373,4483,4517,3194,3680,4390,4664,5467,6012,5311,4358,3800,3598,2503,2017,1466,712,282,4178,4277,4333,4245,3325,3904,4478,4933,5776,6215,5325,4248,3810,3828,2730,2371,1874,1185,757
Hertsmere,E07000098,48812,52459,23245,60485,17541,3523,3328,3124,3123,2664,2989,3018,3228,3405,3722,3560,2869,2570,2540,1650,1465,1078,648,308,3308,3183,2923,2921,2889,3260,3396,3446,3828,4123,3622,2993,2715,2735,1997,1788,1489,1101,742
North Hertfordshire,E07000099,63530,65788,28367,77700,23251,4358,3996,3737,3708,3061,3642,4212,4437,4888,5089,4654,3778,3472,3442,2429,2074,1464,720,369,4113,3822,3645,3547,2851,3728,4497,4556,5048,5254,4497,3831,3646,3556,2629,2374,1958,1288,948
St Albans,E07000240,70064,73030,34795,84985,23314,5360,5163,4493,4121,2960,3660,4476,5413,5751,5774,4801,4013,3574,3410,2341,2016,1497,883,358,5092,4942,4401,3916,3031,3989,5100,5600,5705,5713,4928,4078,3726,3631,2637,2350,1940,1365,886
Stevenage,E07000243,42083,43391,19522,53170,12782,3060,2813,2594,2793,2648,3037,2980,2667,2941,3274,3097,2611,1999,1804,1311,1072,754,455,173,3018,2518,2324,2518,2694,3159,3221,2729,3175,3393,3117,2370,1942,1971,1487,1447,1196,698,414
Three Rivers,E07000102,43466,46029,20340,53371,15784,2899,2910,2812,2711,2212,2374,2550,2949,3281,3563,3255,2649,2371,2321,1507,1396,941,520,245,2767,2747,2700,2580,2238,2447,2971,3166,3419,3639,3309,2773,2419,2463,1799,1646,1389,913,644
Watford,E07000103,46352,47384,22208,59665,11863,3637,3198,2845,2675,2631,3682,4372,3934,3574,3349,2949,2407,1895,1731,1236,1000,723,330,184,3690,2979,2542,2548,2725,4144,4603,3686,3511,3219,2845,2266,1967,1809,1398,1255,1021,711,465
Welwyn Hatfield,E07000241,56289,57772,23442,72580,18039,3658,3376,2992,3880,6259,4219,3880,3348,3714,3713,3636,3135,2602,2388,1741,1548,1246,655,299,3393,3229,3043,3935,5690,4012,3838,3517,3666,3957,3728,3069,2533,2612,2037,2007,1656,1142,708
Norfolk,E10000020,426522,443624,166507,503329,200310,24323,23283,22409,25675,26251,25556,24208,22644,28147,30184,28793,25922,27183,30373,21882,17674,12482,6615,2918,23464,21812,21387,24863,25327,24988,24246,23297,28603,30879,29403,27753,29236,31979,22999,19696,15919,10803,6970
Breckland,E07000143,65645,66942,26377,75450,30760,3878,3735,3539,3964,3646,3888,3640,3405,4338,4759,4499,3901,4134,4799,3401,2803,1909,967,440,3763,3366,3331,3756,3247,3610,3564,3494,4396,4802,4433,4179,4560,4912,3459,3036,2337,1613,1084
Broadland,E07000144,61172,64327,23679,71561,30259,3127,3265,3455,3682,2945,2693,2919,3298,4437,4816,4555,3971,4152,4539,3280,2714,1886,984,454,2905,3117,3309,3498,2630,2759,3170,3534,4634,5001,4625,4321,4422,4832,3425,3022,2417,1629,1077
Great Yarmouth,E07000145,48192,49604,19756,56025,22015,2883,2627,2682,3178,2953,3117,2619,2405,2933,3311,3206,3009,3077,3544,2508,1834,1327,697,282,2739,2575,2548,2948,2683,2823,2639,2451,3188,3528,3235,3147,3277,3540,2609,2045,1738,1160,731
King's Lynn and West Norfolk,E07000146,72577,76181,28612,83843,36303,4126,4103,3806,4104,4045,4325,3818,3622,4584,5123,4940,4530,4791,5403,4010,3219,2268,1215,545,4189,3694,3666,4100,3487,4169,3888,3862,4869,5176,5229,4895,5314,5768,4372,3613,2892,1878,1120
North Norfolk,E07000147,49549,52494,16657,54007,31379,2219,2276,2308,2764,2178,2296,2148,2053,2853,3236,3438,3456,3955,4654,3346,2852,2070,1019,428,2141,2138,2188,2606,2058,2159,2084,2066,2892,3505,3606,3777,4264,4884,3548,3164,2535,1710,1169
Norwich,E07000148,67171,68722,25249,90515,20129,4461,3613,2967,4070,7827,6347,5929,4488,4643,4259,3768,3074,2946,2805,1988,1628,1243,766,349,4261,3570,2719,4364,8529,6378,5493,4252,3999,3906,3570,3263,3068,3135,2226,1997,1760,1339,893
South Norfolk,E07000149,62216,65354,26177,71928,29465,3629,3664,3652,3913,2657,2890,3135,3373,4359,4680,4387,3981,4128,4629,3349,2624,1779,967,420,3466,3352,3626,3591,2693,3090,3408,3638,4625,4961,4705,4171,4331,4908,3360,2819,2240,1474,896
Suffolk,E10000029,363586,372312,151146,426706,158046,21661,21417,20693,22199,21037,22444,21606,19917,24621,26116,24646,22102,22616,24272,16996,13776,9559,5376,2532,20799,20492,19546,20543,18938,20686,20898,20219,24913,27200,25036,23469,24038,25435,18095,15410,12412,8389,5794
Babergh,E07000200,43047,45242,17920,49441,20928,2162,2562,2609,2737,1936,1921,1979,2260,3018,3336,3131,2765,3024,3278,2325,1784,1228,675,317,2127,2516,2562,2503,1819,1880,2051,2371,3197,3474,3132,3075,3214,3559,2413,1951,1613,1012,773
Forest Heath,E07000201,32312,30952,13419,39264,10581,2443,1909,1587,1655,3135,3284,2652,1905,1889,1925,1858,1584,1604,1615,1148,944,668,350,157,2335,1730,1508,1586,2003,2637,2518,1939,1847,2006,1815,1682,1647,1728,1217,1052,803,602,297
Ipswich,E07000202,67086,67607,29790,83915,20988,4890,4375,3820,4170,4493,5458,5340,4456,4803,4619,4156,3750,3279,3107,2070,1847,1355,772,326,4635,3947,3381,3933,4854,5275,5059,4303,4530,4523,4242,3889,3525,3156,2282,2104,1815,1304,850
Mid Suffolk,E07000203,48451,49522,19966,56410,21597,2544,2846,2861,2949,2434,2358,2492,2401,3449,3732,3554,3212,3386,3603,2478,1888,1226,715,323,2555,2714,2800,2752,2147,2195,2481,2620,3437,3978,3550,3430,3499,3546,2545,2026,1550,1030,667
St Edmundsbury,E07000204,55606,55706,22963,65363,22986,3382,3243,3156,3376,3237,3930,3689,3177,3952,3977,3673,3149,3234,3508,2526,2012,1305,711,369,3156,3181,2900,3046,2744,3271,3147,3063,3923,4250,3721,3334,3415,3848,2697,2218,1722,1195,875
Suffolk Coastal,E07000205,60703,63702,24536,68425,31444,3039,3368,3594,3854,2762,2567,2619,2891,3954,4612,4524,4195,4363,4687,3313,2730,1992,1094,545,2864,3411,3437,3542,2457,2387,2740,3044,4326,4784,4616,4328,4683,4999,3591,3115,2503,1652,1223
Waveney,E07000206,56381,59581,22552,63888,29522,3201,3114,3066,3458,3040,2926,2835,2827,3556,3915,3750,3447,3726,4474,3136,2571,1785,1059,495,3127,2993,2958,3181,2914,3041,2902,2879,3653,4185,3960,3731,4055,4599,3350,2944,2406,1594,1109
LONDON,E12000007,4165335,4251200,1886785,5569414,960336,318064,271018,233040,237434,288953,412055,427558,352176,311635,286077,246010,195867,160556,140120,100063,82861,57701,30347,13800,303217,259206,223393,224823,299107,422408,416944,337092,306116,293208,253130,203560,173552,154034,117266,100472,79031,51232,33409
Camden,E09000007,113779,115940,42385,161144,26190,7144,6163,5297,5980,10659,12482,13509,9713,8509,7284,6077,5035,4375,4024,2666,2105,1557,821,379,6971,5924,5203,5762,11801,13115,12247,9672,8218,7083,5792,4843,4671,4505,3263,2623,2033,1315,899
City of London,E09000001,4229,3419,829,5617,1202,147,130,96,103,193,489,554,305,371,398,304,282,234,222,166,98,70,48,19,173,98,93,89,242,410,334,280,240,245,208,203,225,180,119,105,75,66,34
Hackney,E09000012,127536,129843,58978,180078,18323,10268,8393,7092,6591,8632,16932,18058,11887,9074,7779,6241,4641,3542,2739,2058,1734,1117,508,250,9824,8196,7006,6719,9765,18490,16592,11158,8834,8000,6545,4894,3903,3065,2285,1891,1337,881,458
Hammersmith and Fulham,E09000013,87310,91375,33328,127860,17497,6066,4808,3871,3494,6772,11335,10941,8618,6861,5897,4670,3498,2838,2661,1861,1430,974,512,203,5825,4675,3788,3545,6976,12508,10759,7983,6916,6140,4898,4054,3452,3059,2317,1751,1374,817,538
Haringey,E09000014,131870,131516,58961,180619,23806,9337,8493,7581,7488,8837,14212,15817,12678,10659,9203,7246,5343,4326,3543,2614,2231,1407,564,291,9140,7964,7356,6987,8875,13918,13940,11565,10120,9540,7742,6131,5082,4134,3037,2550,1858,988,589
Islington,E09000019,107090,108577,38345,158158,19164,6607,5457,4639,5028,9687,14919,14362,9412,7882,7246,5647,4218,3321,2932,2191,1636,1112,575,219,6393,5095,4594,5086,11053,15987,13168,8686,7253,6776,5864,4456,3667,3219,2381,1997,1480,908,514
Kensington and Chelsea,E09000020,76815,78779,27322,107209,21063,4705,4205,3458,3032,4818,6988,8702,7402,6134,5552,4908,3843,3447,3201,2404,1867,1166,650,333,4355,3905,3252,2897,4845,7414,8334,6974,5992,5838,5168,4245,4118,3952,2666,1814,1353,912,745
Lambeth,E09000022,157180,157062,61968,228035,24239,10693,8868,7521,7182,10820,23662,20872,14784,12001,10879,8479,6043,4543,3493,2634,2187,1489,708,322,10316,8615,7284,6939,12478,23854,19167,13175,11029,10559,8864,6533,4843,3803,3228,2481,1968,1215,711
Lewisham,E09000023,140641,145539,65689,193367,27124,11761,9581,7623,7713,9683,13334,15109,12902,11668,10158,8490,6166,4667,3911,2847,2302,1582,795,349,11013,9096,7382,7550,10751,13818,14760,12761,11251,10800,9205,6823,4991,4218,3362,3038,2285,1507,928
Newham,E09000025,165501,152726,81227,215131,21869,13977,11407,9794,10099,15234,22517,19629,13714,11327,9573,7978,6122,4289,3139,2465,2031,1327,594,285,13394,10889,9707,10134,13540,17303,15928,11336,10046,9358,7979,6255,4829,3651,2933,2320,1591,943,590
Southwark,E09000028,147493,150971,61095,213893,23476,11098,8585,7132,7500,12284,18008,17404,13401,11752,10623,8607,6362,4430,3510,2527,1966,1280,700,324,10656,8422,6855,7311,14924,18543,17107,12881,10538,10291,9130,6429,4715,3866,2988,2410,1938,1209,758
Tower Hamlets,E09000030,140616,132274,60512,195768,16610,10839,8580,7260,7154,13234,21852,19547,13683,9827,7338,5941,4588,3102,2425,1779,1631,1118,484,234,10323,8438,6980,6978,14353,21833,17474,11069,7466,5912,4836,4170,3503,2460,2132,1750,1344,835,418
Wandsworth,E09000032,149357,161159,58235,224030,28251,11630,8110,6379,5831,8104,20769,22176,15442,11435,9290,7472,5738,4770,4104,2967,2380,1547,829,384,11028,7949,6259,5889,11403,24831,22448,14987,11471,9708,7545,6132,5469,4623,3710,2981,2221,1482,1023
Westminster,E09000033,116590,110251,39109,161357,26375,7058,5555,4751,5186,7979,13224,15380,11583,9466,8157,6468,5052,4440,4034,2922,2334,1689,882,430,6691,5309,4544,4495,7318,12646,12965,9990,8067,7277,6334,5488,5043,4228,3160,2680,1947,1265,804
Barking and Dagenham,E09000002,94940,99412,57605,117208,19539,10138,8781,6665,6861,6312,7240,7435,7263,6894,6147,5501,4202,3254,2687,1826,1593,1174,690,277,9474,8123,6334,6189,6401,8145,8531,7969,7179,6690,5518,4101,3466,2858,2305,2167,1867,1318,777
Barnet,E09000003,180479,188609,86623,231952,50513,14184,12656,11195,11014,11160,15147,15940,14001,13263,12258,10772,8996,7879,7156,4844,4143,3079,1823,969,13125,11948,10475,10008,11434,15799,16494,14211,13811,13231,11441,9544,8589,8062,5968,5064,4291,2893,2221
Bexley,E09000004,113896,122791,54907,142582,39198,7981,7817,7445,7878,7682,6881,7222,7036,7953,8640,8186,6553,5661,5459,3855,3369,2458,1283,537,7710,7396,7149,7575,7780,7694,8108,7679,8799,9561,8389,6700,6014,5943,4729,4390,3505,2281,1389
Brent,E09000005,160227,157037,72548,210191,34525,12087,10334,9207,9580,11418,16626,16986,12897,11311,10174,9557,8142,6241,4924,3896,3259,2161,993,434,11630,9641,8581,8712,10521,15822,15128,12085,10977,10568,9976,7964,6574,5327,4452,3750,2804,1647,878
Bromley,E09000006,152649,165250,70449,192041,55409,10838,9980,9225,9353,7827,9008,10261,10725,11837,12174,10781,8872,7766,7852,5357,4454,3536,1938,865,10242,9765,8859,8768,8343,9752,11481,11766,12600,13120,11341,9172,8634,8764,6461,5717,5031,3256,2178
Croydon,E09000008,180777,191975,91628,233648,47476,14531,13069,11337,12078,11248,13118,14148,13511,12772,13791,12589,9660,7912,6935,4875,4220,2806,1534,643,14120,12734,11208,11391,11506,14378,15705,13712,13906,14574,13127,10467,8684,7698,5782,5064,3826,2472,1621
Ealing,E09000009,171587,170907,79516,224516,38462,13534,11399,9821,9713,11145,15949,17165,14922,13260,11864,9995,8396,7095,5599,4267,3469,2244,1174,576,12822,10941,9287,9021,10305,15920,16625,13889,12610,11861,10193,8792,7508,6122,4719,4186,2999,1869,1238
Enfield,E09000010,155746,164778,80924,198707,40893,12870,11912,10412,10747,10146,12046,12194,10849,11013,11324,9927,7956,6410,5854,4203,3531,2460,1348,544,12121,11177,9684,9717,10572,13200,13228,11819,12036,12394,10676,8307,6894,6344,5177,4377,3383,2148,1524
Greenwich,E09000011,131778,132230,63690,172695,27623,11166,9349,7508,7960,9990,11910,12835,11724,9871,8968,7696,5927,4756,4320,2830,2279,1503,821,365,10592,8867,7127,7394,9771,11944,12562,10960,9865,9058,7762,5891,4932,4602,3295,2842,2159,1556,1051
Harrow,E09000015,120705,122667,55743,152110,35519,8685,7804,7340,7908,7401,9684,10266,9146,8384,7846,7601,6807,5813,5003,3716,3286,2236,1174,605,8318,7545,6701,6896,6949,9673,10111,8680,8529,8528,8133,7033,6072,5525,4283,3716,2886,1878,1211
Havering,E09000016,116232,125848,52120,145145,44815,7651,7192,7049,7712,7593,7506,7415,6917,7717,8462,8437,7206,6402,6201,4157,3697,2852,1519,547,7157,7025,6817,7378,7594,8106,8082,7465,8434,9288,8643,7271,6746,6927,5219,4921,4332,2786,1657
Hillingdon,E09000017,142857,143949,67547,181702,37557,11184,9699,8447,9478,11919,10814,11753,10516,10067,9745,8980,7335,6014,5446,3881,3437,2370,1181,591,10501,9107,8124,8736,10760,11283,11917,10399,9876,10150,9039,7357,6049,5817,4377,4138,3127,1889,1303
Hounslow,E09000018,132440,129967,60444,173303,28660,10761,8641,6988,7545,8670,12709,14050,12157,9750,8794,7652,6362,5428,4360,3214,2561,1682,806,310,10356,8269,6720,7005,8308,12262,13181,10609,9228,8607,7575,6530,5590,4647,3543,2991,2286,1364,896
Kingston upon Thames,E09000021,81674,85119,35693,109292,21808,5900,5190,4254,4629,6609,6499,6909,6846,6472,5798,5086,4150,3701,3282,2298,1701,1258,743,349,5736,4994,4335,4705,7381,6423,7100,6802,6404,5882,5160,4181,3839,3508,2496,2112,1828,1296,937
Merton,E09000024,99873,103350,44975,134021,24227,7970,6460,5326,5246,5326,9096,10592,9327,8072,7046,5905,4756,4061,3430,2581,2040,1506,781,352,7856,6192,4916,4824,5603,9542,10888,8767,7904,7381,6315,5109,4516,3832,2894,2524,2050,1357,880
Redbridge,E09000026,142428,145844,73052,180204,35016,11535,10575,9772,9091,9326,12061,12436,11461,9781,9190,8330,7232,6106,5060,3645,2985,2069,1204,569,11040,9957,8937,8763,8906,12450,12966,10964,10237,9733,8668,7500,6239,5375,4141,3636,2970,2061,1301
Richmond upon Thames,E09000027,93037,98328,42856,121044,27465,7429,6314,5138,4622,3838,5619,7540,8623,8352,7491,6253,5236,4584,4358,2722,2055,1523,876,464,7080,6122,5099,4388,4420,5945,8554,8666,8415,7614,6426,5310,4822,4676,3189,2561,2156,1688,1197
Sutton,E09000029,95311,100603,44685,121810,29419,7091,6278,5796,6010,4932,6063,7220,7389,7432,7741,6647,5361,4551,4300,2903,2450,1761,969,417,6610,6035,5436,5719,5124,6877,8125,7384,7842,8059,6722,5335,4716,4823,3420,3071,2510,1685,1110
Waltham Forest,E09000031,132692,133105,63797,174977,27023,11199,9233,7621,7628,9475,13356,13131,11342,10468,9247,7587,5787,4598,3956,2892,2400,1588,820,364,10625,8793,7301,7253,9105,12523,12935,10749,10023,9382,7916,6340,5157,4221,3235,2854,2217,1445,1031
SOUTH EAST,E12000008,4323690,4468936,1890174,5297268,1605184,281151,269323,255685,275417,277131,264384,272147,270673,310603,328831,302240,257381,238293,242864,168010,135400,96620,52954,24583,266380,255746,242097,259394,265495,261869,282460,278698,319538,334994,305492,261361,250659,257807,186811,159422,130459,88352,61902
Bracknell Forest,E06000036,57910,58657,27389,73621,15557,4172,3837,3578,3821,3235,4001,4132,4212,4549,4774,4246,3480,2855,2488,1577,1401,894,463,195,4081,3711,3269,3545,3014,3773,4617,4334,4660,4691,4243,3358,2822,2683,1791,1620,1148,758,539
Brighton and Hove,E06000043,139201,138911,50661,190258,37193,7744,7256,6834,8194,15345,11985,11749,10273,11154,10808,8568,6681,5868,5722,3741,3030,2262,1341,646,7532,6841,6317,8291,15673,11041,10737,9912,10665,10425,8560,6656,5810,5453,4147,3568,3233,2362,1688
Isle of Wight,E06000046,67581,70812,25691,77340,35362,3409,3579,3698,4358,3453,3456,3268,3187,4088,5010,4742,4615,4697,5482,3898,2941,2012,1112,576,3196,3206,3516,3862,3224,3291,3140,3302,4626,5250,4986,4798,5074,5779,4086,3248,2832,1980,1416
Medway,E06000035,134465,136640,61839,168697,40569,9220,8519,8386,9225,10328,9591,8946,8372,9594,10050,9073,7781,7017,6789,4542,3365,2182,1056,429,8809,8302,7950,8620,10214,9185,9156,8472,9492,10022,9426,7650,7136,7137,4815,4114,3001,1877,1262
Milton Keynes,E06000042,126505,129187,64181,160634,30877,10430,9522,8060,7800,6465,9099,10507,10132,9551,9311,8294,7105,6400,5279,3358,2311,1626,872,383,10041,8937,7726,7139,6663,9527,10791,9926,9633,9329,8314,7364,6749,5558,3749,2980,2249,1491,1021
Portsmouth,E06000044,104938,102522,42800,135679,28981,6890,6125,5366,7100,13386,8863,7696,6480,7105,7007,6548,5061,4465,4432,3015,2376,1656,928,439,6718,5981,4956,6856,11061,8154,7198,6120,6728,6899,6273,5050,4393,4489,3317,2983,2434,1692,1220
Reading,E06000038,80087,79160,35076,105331,18840,6358,5084,4011,4809,7300,7111,7926,6526,5923,5260,4583,3649,3042,2787,1980,1638,1113,690,297,6042,4748,3942,4745,7440,7314,7512,5877,5278,5077,4261,3547,3042,2914,2161,1918,1585,1057,700
Slough,E06000039,71652,71372,39014,90690,13320,6671,5795,4714,4524,4203,5556,7198,6483,5557,4754,4006,3429,2849,1887,1500,1134,769,411,212,6521,5493,4409,4145,4178,6471,7416,5752,5092,4506,4054,3345,2583,2053,1623,1426,1184,691,430
Southampton,E06000045,122808,119333,47887,162060,32194,8342,6750,5736,8370,16883,11042,10082,8397,7643,7509,6840,5810,5183,4750,3367,2570,1951,1106,477,7865,6443,5436,8127,14911,10201,9467,7317,6863,7229,6604,5694,5203,5017,3633,3239,2886,1912,1286
West Berkshire,E06000037,77083,78309,35728,93524,26140,5216,5004,4937,4919,3741,4152,4416,4888,6106,6296,5917,4954,4451,4416,2866,2203,1480,785,336,4790,4737,4799,4668,3500,4061,4672,5346,6146,6225,5738,4953,4620,4469,3091,2471,1954,1244,825
Windsor and Maidenhead,E06000040,72317,74018,33039,87357,25939,4828,4696,4698,4544,3299,4328,4705,5124,5525,5751,5178,4194,3835,3926,2684,2145,1598,844,415,4479,4397,4233,4063,3205,4222,4976,5180,5831,5774,5090,4208,4033,4116,3011,2599,2167,1405,1029
Wokingham,E06000041,78008,79858,36497,95068,26301,5391,5357,5049,4960,3725,4154,4354,5510,6222,6207,5954,4969,4101,4152,2851,2329,1598,770,355,4970,5060,4775,4737,3228,4123,5047,5791,6342,6525,5809,4817,4388,4488,3100,2661,1958,1187,852
Buckinghamshire,E10000002,253163,262933,117883,306399,91814,16729,16898,16528,16204,13233,13359,14492,16135,18772,20601,18740,16022,14149,13914,9751,7974,5533,2874,1255,16064,16159,15557,15265,13266,14073,15664,16455,19742,20693,18886,15885,14711,14753,11032,9402,7260,4801,3265
Aylesbury Vale,E07000004,89507,91564,41699,110278,29094,6028,5951,5823,5977,4703,4943,5456,5910,6745,7433,6735,5657,4976,4677,3164,2480,1652,845,352,5850,5675,5279,5254,4570,5273,5873,5920,7030,7521,6686,5577,5132,4916,3539,2823,2158,1426,1062
Chiltern,E07000005,45207,48043,21596,52208,19446,2774,3182,3165,2903,1862,1725,1932,2614,3271,3774,3603,3081,2675,2837,1958,1683,1215,664,289,2666,3028,2995,2731,1845,1824,2151,2823,3565,3942,3778,3090,2805,3049,2272,2135,1540,1108,696
South Bucks,E07000006,32857,35084,14723,39242,13976,2131,2097,2091,1911,1404,1734,1682,1817,2377,2673,2602,2329,1936,1903,1401,1212,861,497,199,1931,2076,1904,1905,1532,1772,1919,2011,2525,2777,2690,2132,2007,2097,1678,1478,1238,820,592
Wycombe,E07000007,85592,88242,39865,104671,29298,5796,5668,5449,5413,5264,4957,5422,5794,6379,6721,5800,4955,4562,4497,3228,2599,1805,868,415,5617,5380,5379,5375,5319,5204,5721,5701,6622,6453,5732,5086,4767,4691,3543,2966,2324,1447,915
East Sussex,E10000011,257889,276513,104896,300058,129448,14689,14814,14755,16157,13372,12983,12997,12478,16903,19616,18601,16534,16800,18785,12950,10704,7797,4690,2264,13565,13822,13977,15258,12902,12781,13560,14124,17963,20547,19323,17945,18488,20396,14648,12686,10862,7713,5953
Eastbourne,E07000061,48287,52250,19509,57304,23724,2943,2631,2627,3117,3075,2855,2945,2646,3117,3370,3179,2742,2828,3135,2185,1921,1480,988,503,2776,2489,2457,2959,2897,2811,3095,2900,3277,3568,3300,3067,3142,3461,2502,2408,2246,1665,1230
Hastings,E07000062,44291,46463,19175,54857,16722,2917,2646,2485,2814,2710,2754,2729,2651,3183,3520,3088,2680,2602,2786,1693,1365,906,497,265,2803,2489,2432,2784,2861,2926,2712,2550,3151,3521,3196,3028,2800,2771,1871,1586,1241,961,780
Lewes,E07000063,48302,51177,19755,55875,23849,2816,2863,2901,2944,2391,2390,2474,2271,3142,3758,3577,3107,3245,3291,2381,1954,1525,860,412,2435,2605,2633,2726,2144,2245,2514,2715,3441,3915,3625,3343,3410,3708,2767,2392,2031,1430,1098
Rother,E07000064,43407,47647,16130,47286,27638,2072,2246,2293,2713,1942,1754,1621,1619,2545,3109,3113,2961,3203,3908,2734,2336,1651,1070,517,1994,2077,2237,2461,1783,1725,1784,1907,2701,3319,3363,3217,3657,4277,3115,2714,2349,1665,1302
Wealden,E07000065,73602,78976,30327,84736,37515,3941,4428,4449,4569,3254,3230,3228,3291,4916,5859,5644,5044,4922,5665,3957,3128,2235,1275,567,3557,4162,4218,4328,3217,3074,3455,4052,5393,6224,5839,5290,5479,6179,4393,3586,2995,1992,1543
Hampshire,E10000014,654853,682877,281537,790249,265944,40229,39965,39047,41388,36020,36197,36964,38290,46960,50474,48734,41742,38620,40646,27954,22834,16178,8663,3948,38315,37995,36688,38453,34296,36178,39154,41056,49543,53143,49202,42018,41115,43157,31232,26356,21147,14171,9658
Basingstoke and Deane,E07000084,84953,86899,38893,105925,27034,6041,5529,5168,5164,4124,5093,5841,5836,6666,6961,6367,5086,4636,4435,3009,2295,1543,808,351,5788,5246,4851,4745,4188,5694,6218,5987,6765,6952,6206,4965,4701,4810,3231,2604,1934,1235,779
East Hampshire,E07000085,56927,60161,24623,67822,24643,3169,3420,3541,3938,2869,2664,2518,2896,4049,4465,4609,4030,3641,3832,2566,2127,1427,798,368,3065,3306,3390,3662,2579,2464,2920,3335,4394,5046,4711,4005,3759,4029,2988,2359,1932,1337,880
Eastleigh,E07000086,62579,65143,27490,77549,22683,4094,3977,3732,3870,3579,3739,3887,3934,4552,4726,4562,4022,3624,3553,2384,1961,1352,733,298,3895,3672,3413,3592,3466,3963,4299,4234,4688,4985,4673,3992,3869,3659,2682,2311,1788,1192,770
Fareham,E07000087,55684,57930,22288,66509,24817,2903,3104,3270,3666,3172,2940,3025,2873,3975,4282,4294,3633,3343,3767,2541,2181,1598,768,349,2883,2939,3058,3146,2661,2901,2877,3249,4312,4641,4351,3638,3661,3982,3008,2492,2027,1235,869
Gosport,E07000088,41339,42164,18168,50036,15299,2825,2651,2436,2519,2597,2705,2626,2455,2824,3004,2985,2563,2284,2404,1526,1297,940,463,235,2431,2458,2398,2382,2416,2655,2541,2463,2981,3099,2951,2511,2444,2486,1708,1616,1305,795,524
Hart,E07000089,45951,46769,20979,55004,16737,2880,3108,2981,2790,2289,2593,2485,3070,3673,3796,3444,2777,2474,2630,1876,1445,927,511,202,2820,2972,2760,2465,1925,2120,2764,3267,3741,3895,3374,2828,2692,2942,2078,1643,1171,767,545
Havant,E07000090,59061,62501,24880,69527,27155,3579,3442,3495,3822,3550,3281,3023,2898,3775,4263,4307,3857,3593,3880,2824,2306,1831,920,415,3191,3322,3286,3624,3302,3279,3171,3115,4184,4653,4546,3998,3851,4223,3225,2809,2362,1455,905
New Forest,E07000091,85711,92351,32940,97515,47607,4532,4586,4791,4933,4079,3895,3885,4085,5362,6224,6238,5720,5986,6697,4779,4070,3157,1803,889,4252,4337,4446,4637,3933,3912,4086,4623,5953,6763,6530,6189,6478,7217,5306,4781,3942,2880,2086
Rushmoor,E07000092,47537,47434,21293,61137,12541,3415,3074,2650,2869,3345,3708,3896,3557,3799,3702,3254,2475,2074,2087,1430,1046,640,342,174,3364,2870,2500,2802,2942,3679,3784,3587,3721,3684,3082,2405,2192,2048,1504,1221,927,664,458
Test Valley,E07000093,57781,60591,25085,69552,23735,3490,3500,3461,3609,2851,2821,2897,3333,4238,4762,4508,3893,3594,3801,2552,2126,1320,714,311,3404,3437,3396,3387,2739,2828,3218,3621,4611,4847,4561,3766,3865,4012,2798,2267,1768,1221,845
Winchester,E07000094,57330,60934,24898,69673,23693,3301,3574,3522,4208,3565,2758,2881,3353,4047,4289,4166,3686,3371,3560,2467,1980,1443,803,356,3222,3436,3190,4011,4145,2683,3276,3575,4193,4578,4217,3721,3603,3749,2704,2253,1991,1390,997
Kent,E10000016,731372,762140,326038,881164,286310,46985,46041,44790,48823,45803,42683,41914,41597,51038,55694,50923,43936,42188,44639,30506,23944,16825,8956,4087,44299,43416,42811,46883,44897,42854,44649,43806,53451,56705,51423,45049,44544,47196,33552,28075,22877,15278,10375
Ashford,E07000105,59057,62666,28435,71098,22190,4005,3996,3980,3881,3260,3300,3189,3410,4304,4820,4213,3337,3380,3574,2366,1815,1230,676,321,3946,3865,3856,3711,3258,3627,3698,3687,4689,4829,4159,3571,3562,3878,2645,2082,1704,1147,752
Canterbury,E07000106,75327,79980,28961,95665,30681,3942,4046,4155,6109,9907,4646,3672,3353,4297,4874,4444,4160,4233,4473,3197,2481,1735,1068,535,3681,3746,3923,6373,9681,4212,3923,3804,4724,5053,4781,4381,4506,4967,3574,3014,2531,1789,1317
Dartford,E07000107,49671,50898,23311,62342,14916,3654,3299,3018,3099,2813,3651,3836,3505,3815,3783,3388,2753,2333,2188,1542,1314,969,521,190,3604,3156,2836,2921,2977,3901,3942,3444,3803,3861,3258,2666,2337,2340,1750,1557,1285,762,498
Dover,E07000108,55174,57164,23000,64734,24604,3292,3057,3094,3670,2990,2985,2795,2842,3653,4186,3917,3747,3623,4021,2694,2061,1393,776,378,2927,3135,3085,3306,2917,2874,2973,2878,3717,4242,4153,3856,3820,4128,2754,2301,1890,1314,894
Gravesham,E07000109,51143,52609,23910,62380,17462,3566,3416,3243,3425,3081,3518,3235,3168,3682,3849,3594,2928,2566,2591,1876,1548,1084,537,236,3426,3183,2980,3358,3206,3517,3476,3204,3725,3769,3581,2911,2683,2793,2095,1880,1382,916,524
